ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
428,Cumhuriyet,Kartal,21609,%8.25858,40.9077831,29.2213083,0.37,12,192,1280,3988,7043,9224
502,Yunus,Kartal,15215,%5.81491,40.8908085,29.2127431,1.4,9,135,901,2808,4959,6495
518,Esentepe,Kartal,26844,%10.25931,40.9069182,29.1868775,1.9,15,239,1590,4954,8749,11459
521,Çavuşoğlu,Kartal,14286,%5.45986,40.8910311,29.1968295,1.2,8,127,846,2636,4656,6098
524,Orhantepe,Kartal,29960,%11.45019,40.9061849,29.1614584,0.78,17,266,1775,5529,9765,12789
592,Kordonboyu,Kartal,11356,%4.34007,40.8884287,29.1896109,3.2,6,101,673,2096,3701,4848
633,Yakacık Çarşı,Kartal,16305,%6.23149,40.9184915,29.2257746,1.2,9,145,966,3009,5314,6960
58,Yeşilova,Küçükçekmece,33002,%12.61279,40.9898801,28.7861851,1.2,23,364,2478,7856,14036,18466
74,Sultanmurat,Küçükçekmece,13776,%5.26495,41.001718,28.785421,1.2,9,152,1034,3279,5859,7708
100,Mehmet Akif,Küçükçekmece,53351,%20.38983,41.0531043,28.8058591,3.4,36,589,4005,12701,22690,29852
104,Kanarya,Küçükçekmece,67272,%25.71019,41.008684,28.7774562,6.7,46,742,5050,16014,28611,37641
121,Kemalpaşa,Küçükçekmece,14667,%5.60547,41.0008891,28.7959206,1.7,10,162,1101,3492,6238,8207
123,Gültepe,Küçükçekmece,30092,%11.50064,40.9942991,28.7911487,1.5,21,332,2259,7164,12798,16838
137,Yenimahalle,Küçükçekmece,19408,%7.41740,40.9926219,28.773674,2.5,13,214,1457,4620,8254,10859
156,İnönü,Küçükçekmece,73048,%27.91768,41.0234463,28.7965109,1.3,50,806,5484,17389,31068,40873
158,Cumhuriyet,Küçükçekmece,51065,%19.51616,40.9967292,28.7712054,2.3,35,563,3834,12156,21718,28573
183,Fevzi Çakmak,Küçükçekmece,25229,%9.64209,41.0044603,28.7894267,13.6,17,278,1894,6006,10730,14117
184,Cennet,Küçükçekmece,29995,%11.46357,40.9896625,28.7775673,25.3,20,331,2252,7140,12757,16783
190,Söğütlüçeşme,Küçükçekmece,33233,%12.70108,41.0209912,28.7868135,31.1,23,367,2495,7911,14134,18595
251,Atatürk,Küçükçekmece,42737,%16.33334,41.0504345,28.7973722,12.3,29,471,3208,10174,18176,23913
266,Tevfikbey,Küçükçekmece,36848,%14.08267,41.0080103,28.7994582,22.7,25,406,2766,8772,15672,20618
373,Halkalı,Küçükçekmece,78180,%29.87904,41.0184293,28.7667075,25.6,53,862,5869,18611,33250,43744
429,Kartaltepe,Küçükçekmece,12166,%4.64963,41.0018684,28.7996739,,8,134,913,2896,5174,6807
440,Beşyol,Küçükçekmece,4092,%1.56389,40.9940333,28.7975927,0.61,3,45,307,974,1740,2290
471,İstasyon,Küçükçekmece,37997,%14.52179,41.0282913,28.7720425,0.96,26,419,2853,9045,16160,21261
510,Atakent,Küçükçekmece,93229,%35.63051,41.0553307,28.7819332,1,64,1028,6999,22194,39651,52165
576,Fatih,Küçükçekmece,10544,%4.02973,40.9920419,28.76962,0.77,7,116,792,2510,4484,5900
692,Yarımburgaz,Küçükçekmece,10461,%3.99801,41.0486117,28.7538529,0.85,7,115,785,2490,4449,5853
85,Fındıklı,Maltepe,59271,%22.65235,40.9713562,29.1302616,1.2,28,414,2631,7882,13577,17615
217,Altıntepe,Maltepe,30375,%11.60880,40.951875,29.1016652,1.1,14,212,1348,4039,6958,9027
260,Bağlarbaşı,Maltepe,41773,%15.96492,40.9233504,29.1336656,1.2,19,292,1854,5555,9569,12414
261,Zümrütevler,Maltepe,82651,%31.58778,40.9363954,29.147589,1.4,38,578,3669,10991,18933,24563
268,Küçükyalı,Maltepe,25940,%9.91382,40.9489271,29.1219958,1.8,12,181,1152,3449,5942,7709
280,Feyzullah,Maltepe,19052,%7.28134,40.9248017,29.1291275,1.7,9,133,846,2533,4364,5662
293,Altayçeşme,Maltepe,30255,%11.56294,40.9278843,29.131346,1.4,14,211,1343,4023,6931,8991
314,Girne,Maltepe,16172,%6.18066,40.94118975,29.1378052286966,3.6,8,113,718,2150,3705,4806
336,Çınar,Maltepe,19848,%7.58556,40.9441446,29.1127963,2.9,9,139,881,2639,4547,5899
367,Esenkent,Maltepe,21745,%8.31056,40.9286404,29.16732,3.9,10,152,965,2892,4981,6462
379,İdealtepe,Maltepe,21982,%8.40114,40.9392248,29.1183959,6.2,10,154,976,2923,5035,6533
382,Gülensu,Maltepe,15441,%5.90128,40.9376784,29.1602109,2.4,7,108,685,2053,3537,4589
389,Gülsuyu,Maltepe,15288,%5.84281,40.9277685,29.1577237,25.6,7,107,679,2033,3502,4543
398,Cevizli,Maltepe,35382,%13.52239,40.9162851,29.1470405,,16,247,1571,4705,8105,10515
433,Aydınevler,Maltepe,20099,%7.68149,40.9490261,29.1281559,0.99,9,140,892,2673,4604,5973
603,Yalı,Maltepe,12893,%4.92748,40.9201889,29.1277394070895,0.76,6,90,572,1714,2953,3832
690,Başıbüyük,Maltepe,21640,%8.27043,40.9585576,29.1485408,0.38,10,151,961,2878,4957,6431
770,Büyükbakkalköy,Maltepe,7779,%2.97300,40.970546,29.1986185,0.32,4,54,345,1034,1782,2312
187,Orhangazi,Pendik,28009,%10.70455,40.8660896,29.2894246,1.3,4,55,361,1105,1930,2517
203,Fatih,Pendik,21209,%8.10571,40.8676856,29.2977107,0.62,3,42,273,837,1462,1906
221,Esenler,Pendik,31553,%12.05901,40.8851987,29.2726983,0.96,4,62,407,1245,2175,2836
