ID,Type,Name,District,Coords,Latitude,Longitude
100,PARK,BAŞAKŞEHİR ONURKENT PARKI-2,BAŞAKŞEHİR,"41.10798946 , 28.79487500",41.10798946,28.79487500
101,PARK,HALICIOĞLU PARKI,BEYOĞLU,"41.04492621 , 28.94480109",41.04492621,28.94480109
102,PARK,ŞEHİT ŞEYHMUZ DEMİR PARKI,BEYOĞLU,"41.04060918 , 28.95029962",41.04060918,28.95029962
103,PARK,NURİ KİLLİGİL PARKI,BEYOĞLU,"41.05515729 , 28.94781053",41.05515729,28.94781053
104,PARK,NİLÜFER PARKI,BEYOĞLU,"41.06315818 , 28.94850791",41.06315818,28.94850791
105,PARK,8 MAYIS PARKI,EYÜPSULTAN,"41.04685604 , 28.93693015",41.04685604,28.93693015
106,PARK,ABDÜLVEDÜT PARKI,EYÜPSULTAN,"41.04141839 , 28.93838257",41.04141839,28.93838257
107,PARK,GABDULLAH TUGAY PARKI,EYÜPSULTAN,"41.06437967 , 28.94292355",41.06437967,28.94292355
108,PARK,FESHANE PARKI,EYÜPSULTAN,"41.04319863 , 28.93841743",41.04319863,28.93841743
109,PARK,FETHİ ÇELEBİ PARKI,EYÜPSULTAN,"41.08394261 , 28.92526388",41.08394261,28.92526388
110,PARK,HABEŞ PARKI,EYÜPSULTAN,"41.03212400 , 28.93679202",41.03212400,28.93679202
111,PARK,İDRİS BİTLİS PARKI,EYÜPSULTAN,"41.05713940 , 28.93327028",41.05713940,28.93327028
112,PARK,NURTEPE GEZİ PARKI,EYÜPSULTAN,"41.08373437 , 28.96003604",41.08373437,28.96003604
113,PARK,GÜZELTEPE PARKI,EYÜPSULTAN,"41.08075834 , 28.95801902",41.08075834,28.95801902
114,PARK,Ç. MESKEN - GÖÇMEN BLOKLARI,EYÜPSULTAN,"41.08155897 , 28.95928502",41.08155897,28.95928502
115,PARK,GÖÇMEN BLOKLARI,KAĞITHANE,"41.08098478 , 28.95830333",41.08098478,28.95830333
116,PARK,İGDAŞ PARKI,EYÜPSULTAN,"41.07185370 , 28.94378722",41.07185370,28.94378722
117,PARK,OTAĞCILAR PARKI,EYÜPSULTAN,"41.03948234 , 28.93582374",41.03948234,28.93582374
118,PARK,SİLAHTARAĞA PARKI,EYÜPSULTAN,"41.06016504 , 28.94573987",41.06016504,28.94573987
119,PARK,TEKKE PARKI,EYÜPSULTAN,"41.05756413 , 28.94467771",41.05756413,28.94467771
120,PARK,ÇOBAN ÇEŞME PARKI,EYÜPSULTAN,"41.08084730 , 28.95092726",41.08084730,28.95092726
121,PARK,ÇOBAN ÇEŞME OKUL ÜSTÜ,EYÜPSULTAN,"41.08141340 , 28.95390451",41.08141340,28.95390451
122,PARK,FETİH PARKI,EYÜPSULTAN,"41.08441771 , 28.92534435",41.08441771,28.92534435
123,PARK,ŞEHİT HALİT AYDIN PARKI,EYÜPSULTAN,"41.08374650 , 28.94442558",41.08374650,28.94442558
124,PARK,KUTLU DOĞUM PARKI,EYÜPSULTAN,"41.07913683 , 28.93938303",41.07913683,28.93938303
125,PARK,ŞEHİT HÜSEYİN ÇATALKAŞ PARKI,EYÜPSULTAN,"41.08077856 , 28.93959224",41.08077856,28.93959224
126,PARK,BARIŞ MANÇO PARKI,EYÜPSULTAN,"41.08982754 , 28.92673910",41.08982754,28.92673910
127,PARK,ŞEHİT SONER BAYKUŞ PARKI,EYÜPSULTAN,"41.07838065 , 28.93302619",41.07838065,28.93302619
128,PARK,ALİBEYKÖY MERKEZ PARKI,EYÜPSULTAN,"41.08068758 , 28.94876808",41.08068758,28.94876808
129,PARK,ASIM YILDIZ PARKI,EYÜPSULTAN,"41.08762000 , 28.93678129",41.08762000,28.93678129
130,PARK,AKŞEMSETTİN PARKI,FATİH,"41.03563231 , 28.94768715",41.03563231,28.94768715
131,PARK,AYVANSARAY SUR DİPLERİ,EYÜPSULTAN,"41.03913639 , 28.93984973",41.03913639,28.93984973
132,PARK,CEMİL MERİÇ GÖRME ÖZÜRLÜLER PARKI,FATİH,"41.04086004 , 28.94273043",41.04086004,28.94273043
133,PARK,BALAT PARKI,FATİH,"41.03793467 , 28.94572645",41.03793467,28.94572645
134,PARK,SOBACILAR ÖNÜ PARKI,FATİH,"41.01820626 , 28.96765351",41.01820626,28.96765351
135,PARK,İTO PARKI,FATİH,"41.01902384 , 28.96776080",41.01902384,28.96776080
